ticker,name_cn,date,close,turnover_rate
000300.SH,沪深300,2025-06-06,3873.9841,1.4765
000300.SH,沪深300,2025-06-13,3864.1822,2.2372
000300.SH,沪深300,2025-06-20,3846.6443,1.9352
000300.SH,沪深300,2025-06-27,3921.7578,2.5709
000300.SH,沪深300,2025-07-04,3982.2034,2.1889
000300.SH,沪深300,2025-07-11,4014.807,2.837
000300.SH,沪深300,2025-07-18,4058.5486,2.73
000300.SH,沪深300,2025-07-25,4127.1634,4.181
000300.SH,沪深300,2025-08-01,4054.9286,3.545
000300.SH,沪深300,2025-08-08,4104.9669,2.7022
000300.SH,沪深300,2025-08-15,4202.3533,3.2299
000300.SH,沪深300,2025-08-22,4377.9977,4.0915
000300.SH,沪深300,2025-08-29,4496.7591,4.887
000300.SH,沪深300,2025-09-05,4460.3249,4.3778
000300.SH,沪深300,2025-09-12,4521.998,3.7109
000300.SH,沪深300,2025-09-19,4501.9195,3.8286
000300.SH,沪深300,2025-09-26,4550.0487,3.3881
000300.SH,沪深300,2025-09-30,4640.6935,1.5971
000300.SH,沪深300,2025-10-10,4616.8341,2.0381
000300.SH,沪深300,2025-10-17,4514.2345,4.5161
000300.SH,沪深300,2025-10-24,4660.6835,3.1428
000300.SH,沪深300,2025-10-31,4640.6676,3.9219
000300.SH,沪深300,2025-11-07,4678.7944,3.399
000300.SH,沪深300,2025-11-14,4628.1398,3.1507
000300.SH,沪深300,2025-11-21,4453.6076,2.9228
000300.SH,沪深300,2025-11-28,4526.6616,2.4574
000300.SH,沪深300,2025-12-05,4584.5368,2.6323
000300.SH,沪深300,2025-12-12,4580.95,2.8503
000300.SH,沪深300,2025-12-19,4568.1781,2.4884
000300.SH,沪深300,2025-12-26,4657.24,2.4422
000300.SH,沪深300,2025-12-31,4629.9395,1.677
000300.SH,沪深300,2026-01-09,4758.9221,3.9007
000300.SH,沪深300,2026-01-16,4731.8728,4.6813
000300.SH,沪深300,2026-01-23,4702.4966,4.2694
000300.SH,沪深300,2026-01-30,4706.3401,5.4128
000300.SH,沪深300,2026-02-06,4643.5959,3.8717
000300.SH,沪深300,2026-02-13,4660.4056,2.8971
000300.SH,沪深300,2026-02-27,4710.6469,3.0301
000300.SH,沪深300,2026-03-06,4660.439,4.6125
000300.SH,沪深300,2026-03-13,4669.14,4.4605
000300.SH,沪深300,2026-03-20,4567.0179,3.9607
000300.SH,沪深300,2026-03-27,4502.5698,3.7949
000300.SH,沪深300,2026-04-03,4440.7889,3.0569
000300.SH,沪深300,2026-04-10,4636.5655,2.4511
000300.SH,沪深300,2026-04-17,4728.6716,2.9605
000300.SH,沪深300,2026-04-24,4769.3688,3.2031
000300.SH,沪深300,2026-04-30,4807.3069,2.7041
