code,time,close
1879,2026-04-28 09:35:00,885.0
1879,2026-04-28 09:40:00,868.0
1879,2026-04-28 09:45:00,870.5
1879,2026-04-28 09:50:00,833.5
1879,2026-04-28 09:55:00,850.0
1879,2026-04-28 10:00:00,848.0
1879,2026-04-28 10:05:00,858.5
1879,2026-04-28 10:10:00,837.0
1879,2026-04-28 10:15:00,849.0
1879,2026-04-28 10:20:00,852.0
1879,2026-04-28 10:25:00,850.0
1879,2026-04-28 10:30:00,848.5
1879,2026-04-28 10:35:00,844.0
1879,2026-04-28 10:40:00,843.0
1879,2026-04-28 10:45:00,836.0
1879,2026-04-28 10:50:00,837.0
1879,2026-04-28 10:55:00,828.0
1879,2026-04-28 11:00:00,848.0
1879,2026-04-28 11:05:00,856.5
1879,2026-04-28 11:10:00,842.0
1879,2026-04-28 11:15:00,824.0
1879,2026-04-28 11:20:00,815.0
1879,2026-04-28 11:25:00,830.0
1879,2026-04-28 11:30:00,827.0
1879,2026-04-28 11:35:00,818.0
1879,2026-04-28 11:40:00,814.5
1879,2026-04-28 11:45:00,811.5
1879,2026-04-28 11:50:00,823.5
1879,2026-04-28 11:55:00,828.5
1879,2026-04-28 12:00:00,842.0
1879,2026-04-28 13:05:00,820.0
1879,2026-04-28 13:10:00,821.5
1879,2026-04-28 13:15:00,820.0
1879,2026-04-28 13:20:00,821.5
1879,2026-04-28 13:25:00,835.5
1879,2026-04-28 13:30:00,835.0
1879,2026-04-28 13:35:00,836.0
1879,2026-04-28 13:40:00,838.0
1879,2026-04-28 13:45:00,845.5
1879,2026-04-28 13:50:00,857.0
1879,2026-04-28 13:55:00,910.0
1879,2026-04-28 14:00:00,905.5
1879,2026-04-28 14:05:00,932.5
1879,2026-04-28 14:10:00,905.5
1879,2026-04-28 14:15:00,920.0
1879,2026-04-28 14:20:00,948.0
1879,2026-04-28 14:25:00,945.0
1879,2026-04-28 14:30:00,960.0
1879,2026-04-28 14:35:00,959.0
1879,2026-04-28 14:40:00,972.5
1879,2026-04-28 14:45:00,975.0
1879,2026-04-28 14:50:00,977.0
1879,2026-04-28 14:55:00,974.0
1879,2026-04-28 15:00:00,954.0
1879,2026-04-28 15:05:00,935.0
1879,2026-04-28 15:10:00,945.0
1879,2026-04-28 15:15:00,908.0
1879,2026-04-28 15:20:00,900.0
1879,2026-04-28 15:25:00,874.5
1879,2026-04-28 15:30:00,899.5
1879,2026-04-28 15:35:00,909.5
1879,2026-04-28 15:40:00,905.0
1879,2026-04-28 15:45:00,927.0
1879,2026-04-28 15:50:00,909.0
1879,2026-04-28 15:55:00,898.0
1879,2026-04-28 16:00:00,886.0
7666,2026-05-13 09:35:00,28.72
7666,2026-05-13 09:40:00,28.26
7666,2026-05-13 09:45:00,26.94
7666,2026-05-13 09:50:00,26.02
7666,2026-05-13 09:55:00,26.1
7666,2026-05-13 10:00:00,23.7
7666,2026-05-13 10:05:00,24.5
7666,2026-05-13 10:10:00,25.82
7666,2026-05-13 10:15:00,25.72
7666,2026-05-13 10:20:00,25.0
7666,2026-05-13 10:25:00,24.84
7666,2026-05-13 10:30:00,25.52
7666,2026-05-13 10:35:00,25.8
7666,2026-05-13 10:40:00,26.72
7666,2026-05-13 10:45:00,26.54
7666,2026-05-13 10:50:00,26.2
7666,2026-05-13 10:55:00,26.24
7666,2026-05-13 11:00:00,25.04
7666,2026-05-13 11:05:00,24.96
7666,2026-05-13 11:10:00,24.56
7666,2026-05-13 11:15:00,24.92
7666,2026-05-13 11:20:00,25.02
7666,2026-05-13 11:25:00,25.1
7666,2026-05-13 11:30:00,25.4
7666,2026-05-13 11:35:00,25.06
7666,2026-05-13 11:40:00,25.1
7666,2026-05-13 11:45:00,25.46
7666,2026-05-13 11:50:00,25.82
7666,2026-05-13 11:55:00,25.8
7666,2026-05-13 12:00:00,25.92
7666,2026-05-13 13:05:00,25.24
7666,2026-05-13 13:10:00,25.14
7666,2026-05-13 13:15:00,25.7
7666,2026-05-13 13:20:00,25.22
7666,2026-05-13 13:25:00,25.1
7666,2026-05-13 13:30:00,25.48
7666,2026-05-13 13:35:00,25.24
7666,2026-05-13 13:40:00,25.22
7666,2026-05-13 13:45:00,25.06
7666,2026-05-13 13:50:00,25.1
7666,2026-05-13 13:55:00,25.08
7666,2026-05-13 14:00:00,25.2
7666,2026-05-13 14:05:00,24.64
7666,2026-05-13 14:10:00,24.6
7666,2026-05-13 14:15:00,24.4
7666,2026-05-13 14:20:00,24.38
7666,2026-05-13 14:25:00,24.72
7666,2026-05-13 14:30:00,24.7
7666,2026-05-13 14:35:00,24.52
7666,2026-05-13 14:40:00,24.48
7666,2026-05-13 14:45:00,24.32
7666,2026-05-13 14:50:00,24.16
7666,2026-05-13 14:55:00,23.88
7666,2026-05-13 15:00:00,24.78
7666,2026-05-13 15:05:00,24.52
7666,2026-05-13 15:10:00,24.5
7666,2026-05-13 15:15:00,24.22
7666,2026-05-13 15:20:00,24.26
7666,2026-05-13 15:25:00,24.06
7666,2026-05-13 15:30:00,24.08
7666,2026-05-13 15:35:00,24.18
7666,2026-05-13 15:40:00,24.2
7666,2026-05-13 15:45:00,24.02
7666,2026-05-13 15:50:00,24.04
7666,2026-05-13 15:55:00,23.9
7666,2026-05-13 16:00:00,23.8
7688,2026-05-20 09:35:00,35.94
7688,2026-05-20 09:40:00,37.02
7688,2026-05-20 09:45:00,35.7
7688,2026-05-20 09:50:00,35.5
7688,2026-05-20 09:55:00,34.92
7688,2026-05-20 10:00:00,34.36
7688,2026-05-20 10:05:00,34.0
7688,2026-05-20 10:10:00,34.8
7688,2026-05-20 10:15:00,34.98
7688,2026-05-20 10:20:00,34.64
7688,2026-05-20 10:25:00,35.42
7688,2026-05-20 10:30:00,34.24
7688,2026-05-20 10:35:00,33.98
7688,2026-05-20 10:40:00,34.3
7688,2026-05-20 10:45:00,35.0
7688,2026-05-20 10:50:00,34.84
7688,2026-05-20 10:55:00,35.1
7688,2026-05-20 11:00:00,35.0
7688,2026-05-20 11:05:00,34.62
7688,2026-05-20 11:10:00,34.66
7688,2026-05-20 11:15:00,35.0
7688,2026-05-20 11:20:00,34.88
7688,2026-05-20 11:25:00,34.5
7688,2026-05-20 11:30:00,34.86
7688,2026-05-20 11:35:00,34.92
7688,2026-05-20 11:40:00,35.0
7688,2026-05-20 11:45:00,34.98
