ticker,name_cn,date,close,turnover_rate
HSCICD.HK,非必需消费,2025-06-06,2883.59,2.6885
HSCICD.HK,非必需消费,2025-06-13,2833.18,3.5084
HSCICD.HK,非必需消费,2025-06-20,2751.61,3.1125
HSCICD.HK,非必需消费,2025-06-27,2810.79,6.818
HSCICD.HK,非必需消费,2025-07-04,2728.89,4.1657
HSCICD.HK,非必需消费,2025-07-11,2753.44,5.7455
HSCICD.HK,非必需消费,2025-07-18,2922.37,4.631
HSCICD.HK,非必需消费,2025-07-25,2960.24,3.7841
HSCICD.HK,非必需消费,2025-08-01,2855.47,3.4076
HSCICD.HK,非必需消费,2025-08-08,2881.33,2.8043
HSCICD.HK,非必需消费,2025-08-15,2912.33,2.9767
HSCICD.HK,非必需消费,2025-08-22,2960.17,3.5977
HSCICD.HK,非必需消费,2025-08-29,2897.49,4.4071
HSCICD.HK,非必需消费,2025-09-05,3001.66,3.357
HSCICD.HK,非必需消费,2025-09-12,3170.01,3.0444
HSCICD.HK,非必需消费,2025-09-19,3324.0,4.0775
HSCICD.HK,非必需消费,2025-09-26,3320.67,2.9889
HSCICD.HK,非必需消费,2025-09-30,3545.96,1.5804
HSCICD.HK,非必需消费,2025-10-10,3307.88,1.5712
HSCICD.HK,非必需消费,2025-10-17,3118.33,3.0266
HSCICD.HK,非必需消费,2025-10-24,3292.98,2.0579
HSCICD.HK,非必需消费,2025-10-31,3229.92,1.6875
HSCICD.HK,非必需消费,2025-11-07,3165.94,2.1989
HSCICD.HK,非必需消费,2025-11-14,3140.0,2.2496
HSCICD.HK,非必需消费,2025-11-21,2969.6,2.1396
HSCICD.HK,非必需消费,2025-11-28,3086.91,2.2618
HSCICD.HK,非必需消费,2025-12-05,3109.82,2.0567
HSCICD.HK,非必需消费,2025-12-12,3086.33,2.4871
HSCICD.HK,非必需消费,2025-12-19,2994.46,2.0081
HSCICD.HK,非必需消费,2025-12-26,2999.89,0.8206
HSCICD.HK,非必需消费,2025-12-31,3064.3,1.3512
HSCICD.HK,非必需消费,2026-01-09,3034.29,2.2011
HSCICD.HK,非必需消费,2026-01-16,3206.23,3.414
HSCICD.HK,非必需消费,2026-01-23,3260.51,2.2211
HSCICD.HK,非必需消费,2026-01-30,3243.11,2.375
HSCICD.HK,非必需消费,2026-02-06,3095.7,2.9999
HSCICD.HK,非必需消费,2026-02-13,3096.13,2.9239
