证券代码,证券简称,日期,收盘价
HSHCI.HK,恒生医疗保健,20260601,3357.89
HSI.HK,恒生指数,20260601,25398.18
HSTECH.HK,恒生科技,20260601,4964.92
HSHCI.HK,恒生医疗保健,20260529,3383.26
HSI.HK,恒生指数,20260529,25182.39
HSTECH.HK,恒生科技,20260529,4884.23
HSHCI.HK,恒生医疗保健,20260528,3266.22
HSI.HK,恒生指数,20260528,25006.16
HSTECH.HK,恒生科技,20260528,4888.58
HSHCI.HK,恒生医疗保健,20260527,3392.0
HSI.HK,恒生指数,20260527,25328.23
HSTECH.HK,恒生科技,20260527,4907.57
HSHCI.HK,恒生医疗保健,20260526,3419.48
HSI.HK,恒生指数,20260526,25599.45
HSTECH.HK,恒生科技,20260526,4946.88
HSHCI.HK,恒生医疗保健,20260522,3448.61
HSI.HK,恒生指数,20260522,25606.03
HSTECH.HK,恒生科技,20260522,4869.57
HSHCI.HK,恒生医疗保健,20260521,3444.19
HSI.HK,恒生指数,20260521,25386.52
HSTECH.HK,恒生科技,20260521,4768.9
HSHCI.HK,恒生医疗保健,20260520,3419.47
HSI.HK,恒生指数,20260520,25651.12
HSTECH.HK,恒生科技,20260520,4873.82
HSHCI.HK,恒生医疗保健,20260519,3411.86
HSI.HK,恒生指数,20260519,25797.85
HSTECH.HK,恒生科技,20260519,4857.46
HSHCI.HK,恒生医疗保健,20260518,3430.49
HSI.HK,恒生指数,20260518,25675.18
HSTECH.HK,恒生科技,20260518,4844.94
HSHCI.HK,恒生医疗保健,20260515,3525.03
HSI.HK,恒生指数,20260515,25962.73
HSTECH.HK,恒生科技,20260515,4941.14
HSHCI.HK,恒生医疗保健,20260514,3604.77
HSI.HK,恒生指数,20260514,26389.04
HSTECH.HK,恒生科技,20260514,5076.2
HSHCI.HK,恒生医疗保健,20260513,3669.8
HSI.HK,恒生指数,20260513,26388.44
HSTECH.HK,恒生科技,20260513,5093.85
HSHCI.HK,恒生医疗保健,20260512,3711.42
HSI.HK,恒生指数,20260512,26347.91
HSTECH.HK,恒生科技,20260512,5070.61
HSHCI.HK,恒生医疗保健,20260511,3729.41
HSI.HK,恒生指数,20260511,26406.84
HSTECH.HK,恒生科技,20260511,5106.4
HSHCI.HK,恒生医疗保健,20260508,3727.91
HSI.HK,恒生指数,20260508,26393.71
HSTECH.HK,恒生科技,20260508,5102.79
HSHCI.HK,恒生医疗保健,20260507,3783.05
HSI.HK,恒生指数,20260507,26626.28
HSTECH.HK,恒生科技,20260507,5121.1
HSHCI.HK,恒生医疗保健,20260506,3713.65
HSI.HK,恒生指数,20260506,26213.78
HSTECH.HK,恒生科技,20260506,4969.2
HSHCI.HK,恒生医疗保健,20260505,3718.98
HSI.HK,恒生指数,20260505,25898.61
HSTECH.HK,恒生科技,20260505,4929.68
HSHCI.HK,恒生医疗保健,20260504,3751.89
HSI.HK,恒生指数,20260504,26095.88
HSTECH.HK,恒生科技,20260504,4976.7
HSHCI.HK,恒生医疗保健,20260430,3730.51
HSI.HK,恒生指数,20260430,25776.53
HSTECH.HK,恒生科技,20260430,4871.32
HSHCI.HK,恒生医疗保健,20260429,3739.86
HSI.HK,恒生指数,20260429,26111.84
HSTECH.HK,恒生科技,20260429,4910.02
HSHCI.HK,恒生医疗保健,20260428,3731.24
HSI.HK,恒生指数,20260428,25679.78
HSTECH.HK,恒生科技,20260428,4827.19
HSHCI.HK,恒生医疗保健,20260427,3747.94
HSI.HK,恒生指数,20260427,25925.65
HSTECH.HK,恒生科技,20260427,4939.84
HSHCI.HK,恒生医疗保健,20260424,3789.1
HSI.HK,恒生指数,20260424,25978.07
HSTECH.HK,恒生科技,20260424,4902.2
HSHCI.HK,恒生医疗保健,20260423,3774.85
HSI.HK,恒生指数,20260423,25915.2
HSTECH.HK,恒生科技,20260423,4865.52
HSHCI.HK,恒生医疗保健,20260422,3912.6
HSI.HK,恒生指数,20260422,26163.24
HSTECH.HK,恒生科技,20260422,4963.94
HSHCI.HK,恒生医疗保健,20260421,3954.08
HSI.HK,恒生指数,20260421,26487.48
HSTECH.HK,恒生科技,20260421,5061.5
HSHCI.HK,恒生医疗保健,20260420,3976.97
HSI.HK,恒生指数,20260420,26361.07
HSTECH.HK,恒生科技,20260420,5065.63
HSHCI.HK,恒生医疗保健,20260417,3993.81
HSI.HK,恒生指数,20260417,26160.33
HSTECH.HK,恒生科技,20260417,5042.68
HSHCI.HK,恒生医疗保健,20260416,4060.89
HSI.HK,恒生指数,20260416,26394.26
HSTECH.HK,恒生科技,20260416,5092.08
HSHCI.HK,恒生医疗保健,20260415,4019.85
HSI.HK,恒生指数,20260415,25947.32
HSTECH.HK,恒生科技,20260415,4911.79
HSHCI.HK,恒生医疗保健,20260414,3881.91
HSI.HK,恒生指数,20260414,25872.32
HSTECH.HK,恒生科技,20260414,4851.96
HSHCI.HK,恒生医疗保健,20260413,3842.53
HSI.HK,恒生指数,20260413,25660.85
HSTECH.HK,恒生科技,20260413,4822.01
HSHCI.HK,恒生医疗保健,20260410,3915.05
HSI.HK,恒生指数,20260410,25893.54
HSTECH.HK,恒生科技,20260410,4860.26
HSHCI.HK,恒生医疗保健,20260409,3888.83
HSI.HK,恒生指数,20260409,25752.4
HSTECH.HK,恒生科技,20260409,4821.67
HSHCI.HK,恒生医疗保健,20260408,3927.25
HSI.HK,恒生指数,20260408,25893.02
HSTECH.HK,恒生科技,20260408,4923.25
HSHCI.HK,恒生医疗保健,20260402,3954.15
HSI.HK,恒生指数,20260402,25116.53
HSTECH.HK,恒生科技,20260402,4679.1
HSHCI.HK,恒生医疗保健,20260401,3923.99
HSI.HK,恒生指数,20260401,25294.03
HSTECH.HK,恒生科技,20260401,4756.45
HSHCI.HK,恒生医疗保健,20260331,3688.14
HSI.HK,恒生指数,20260331,24788.14
HSTECH.HK,恒生科技,20260331,4649.82
HSHCI.HK,恒生医疗保健,20260330,3695.1
HSI.HK,恒生指数,20260330,24750.79
HSTECH.HK,恒生科技,20260330,4690.08
HSHCI.HK,恒生医疗保健,20260327,3704.29
HSI.HK,恒生指数,20260327,24951.88
