证券代码,证券简称,日期,收盘价
HSTECH.HK,恒生科技,20260327,4778.01
HSHCI.HK,恒生医疗保健,20260326,3533.0
HSI.HK,恒生指数,20260326,24856.43
HSTECH.HK,恒生科技,20260326,4761.54
HSHCI.HK,恒生医疗保健,20260325,3606.29
HSI.HK,恒生指数,20260325,25335.95
HSTECH.HK,恒生科技,20260325,4922.94
HSHCI.HK,恒生医疗保健,20260324,3580.15
HSI.HK,恒生指数,20260324,25063.71
HSTECH.HK,恒生科技,20260324,4830.89
HSHCI.HK,恒生医疗保健,20260323,3455.55
HSI.HK,恒生指数,20260323,24382.47
HSTECH.HK,恒生科技,20260323,4712.48
HSHCI.HK,恒生医疗保健,20260320,3600.18
HSI.HK,恒生指数,20260320,25277.32
HSTECH.HK,恒生科技,20260320,4872.38
HSHCI.HK,恒生医疗保健,20260319,3650.84
HSI.HK,恒生指数,20260319,25500.58
HSTECH.HK,恒生科技,20260319,4996.28
HSHCI.HK,恒生医疗保健,20260318,3761.83
HSI.HK,恒生指数,20260318,26025.42
HSTECH.HK,恒生科技,20260318,5108.3
HSHCI.HK,恒生医疗保健,20260317,3720.66
HSI.HK,恒生指数,20260317,25868.54
HSTECH.HK,恒生科技,20260317,5107.64
HSHCI.HK,恒生医疗保健,20260316,3703.48
HSI.HK,恒生指数,20260316,25834.02
HSTECH.HK,恒生科技,20260316,5111.78
HSHCI.HK,恒生医疗保健,20260313,3610.89
HSI.HK,恒生指数,20260313,25465.6
HSTECH.HK,恒生科技,20260313,4978.08
HSHCI.HK,恒生医疗保健,20260312,3677.12
HSI.HK,恒生指数,20260312,25716.76
HSTECH.HK,恒生科技,20260312,5027.64
HSHCI.HK,恒生医疗保健,20260311,3748.51
HSI.HK,恒生指数,20260311,25898.76
HSTECH.HK,恒生科技,20260311,5054.85
HSHCI.HK,恒生医疗保健,20260310,3791.24
HSI.HK,恒生指数,20260310,25959.9
HSTECH.HK,恒生科技,20260310,5060.53
HSHCI.HK,恒生医疗保健,20260309,3668.73
HSI.HK,恒生指数,20260309,25408.46
HSTECH.HK,恒生科技,20260309,4941.73
HSHCI.HK,恒生医疗保健,20260306,3719.99
HSI.HK,恒生指数,20260306,25757.29
HSTECH.HK,恒生科技,20260306,4947.5
HSHCI.HK,恒生医疗保健,20260305,3584.65
HSI.HK,恒生指数,20260305,25321.34
HSTECH.HK,恒生科技,20260305,4796.33
HSHCI.HK,恒生医疗保健,20260304,3538.59
HSI.HK,恒生指数,20260304,25249.48
HSTECH.HK,恒生科技,20260304,4829.5
HSHCI.HK,恒生医疗保健,20260303,3625.27
HSI.HK,恒生指数,20260303,25768.08
HSTECH.HK,恒生科技,20260303,4876.53
HSHCI.HK,恒生医疗保健,20260302,3756.75
HSI.HK,恒生指数,20260302,26059.85
HSTECH.HK,恒生科技,20260302,4989.37
HSHCI.HK,恒生医疗保健,20260227,3889.51
HSI.HK,恒生指数,20260227,26630.54
HSTECH.HK,恒生科技,20260227,5137.84
HSHCI.HK,恒生医疗保健,20260226,3823.39
HSI.HK,恒生指数,20260226,26381.02
HSTECH.HK,恒生科技,20260226,5109.33
HSHCI.HK,恒生医疗保健,20260225,4005.05
HSI.HK,恒生指数,20260225,26765.72
HSTECH.HK,恒生科技,20260225,5260.5
HSHCI.HK,恒生医疗保健,20260224,4013.68
HSI.HK,恒生指数,20260224,26590.32
HSTECH.HK,恒生科技,20260224,5270.7
HSHCI.HK,恒生医疗保健,20260223,4140.96
HSI.HK,恒生指数,20260223,27081.91
HSTECH.HK,恒生科技,20260223,5385.35
HSHCI.HK,恒生医疗保健,20260220,4075.4
HSI.HK,恒生指数,20260220,26413.35
HSTECH.HK,恒生科技,20260220,5211.5
HSHCI.HK,恒生医疗保健,20260216,4053.85
HSI.HK,恒生指数,20260216,26705.94
HSTECH.HK,恒生科技,20260216,5367.52
HSHCI.HK,恒生医疗保健,20260213,4044.57
HSI.HK,恒生指数,20260213,26567.12
HSTECH.HK,恒生科技,20260213,5360.42
HSHCI.HK,恒生医疗保健,20260212,4058.15
HSI.HK,恒生指数,20260212,27032.54
HSTECH.HK,恒生科技,20260212,5408.98
HSHCI.HK,恒生医疗保健,20260211,4114.24
HSI.HK,恒生指数,20260211,27266.38
HSTECH.HK,恒生科技,20260211,5499.99
HSHCI.HK,恒生医疗保健,20260210,4087.79
HSI.HK,恒生指数,20260210,27183.15
HSTECH.HK,恒生科技,20260210,5451.03
HSHCI.HK,恒生医疗保健,20260209,3999.78
HSI.HK,恒生指数,20260209,27027.16
HSTECH.HK,恒生科技,20260209,5417.6
HSHCI.HK,恒生医疗保健,20260206,3918.69
HSI.HK,恒生指数,20260206,26559.95
HSTECH.HK,恒生科技,20260206,5346.2
HSHCI.HK,恒生医疗保健,20260205,3932.93
HSI.HK,恒生指数,20260205,26885.24
HSTECH.HK,恒生科技,20260205,5406.13
HSHCI.HK,恒生医疗保健,20260204,3908.44
HSI.HK,恒生指数,20260204,26847.32
HSTECH.HK,恒生科技,20260204,5366.44
HSHCI.HK,恒生医疗保健,20260203,3890.78
HSI.HK,恒生指数,20260203,26834.77
HSTECH.HK,恒生科技,20260203,5467.26
HSHCI.HK,恒生医疗保健,20260202,3837.63
HSI.HK,恒生指数,20260202,26775.57
HSTECH.HK,恒生科技,20260202,5526.31
HSHCI.HK,恒生医疗保健,20260130,3974.92
HSI.HK,恒生指数,20260130,27387.11
HSTECH.HK,恒生科技,20260130,5718.18
HSHCI.HK,恒生医疗保健,20260129,4061.66
HSI.HK,恒生指数,20260129,27968.09
HSTECH.HK,恒生科技,20260129,5841.1
HSHCI.HK,恒生医疗保健,20260128,4094.36
HSI.HK,恒生指数,20260128,27826.91
HSTECH.HK,恒生科技,20260128,5900.16
HSHCI.HK,恒生医疗保健,20260127,4038.17
HSI.HK,恒生指数,20260127,27126.95
HSTECH.HK,恒生科技,20260127,5754.72
HSHCI.HK,恒生医疗保健,20260126,4032.36
HSI.HK,恒生指数,20260126,26765.52
HSTECH.HK,恒生科技,20260126,5725.99
HSHCI.HK,恒生医疗保健,20260123,4097.1
HSI.HK,恒生指数,20260123,26749.51
HSTECH.HK,恒生科技,20260123,5798.01
HSHCI.HK,恒生医疗保健,20260122,4051.33
HSI.HK,恒生指数,20260122,26629.96
HSTECH.HK,恒生科技,20260122,5762.44
HSHCI.HK,恒生医疗保健,20260121,4091.67
HSI.HK,恒生指数,20260121,26585.06
HSTECH.HK,恒生科技,20260121,5746.3
HSHCI.HK,恒生医疗保健,20260120,4063.62
HSI.HK,恒生指数,20260120,26487.51
HSTECH.HK,恒生科技,20260120,5683.44
HSHCI.HK,恒生医疗保健,20260119,4094.97
HSI.HK,恒生指数,20260119,26563.9
HSTECH.HK,恒生科技,20260119,5749.98
HSHCI.HK,恒生医疗保健,20260116,4213.16
HSI.HK,恒生指数,20260116,26844.96
HSTECH.HK,恒生科技,20260116,5822.18
HSHCI.HK,恒生医疗保健,20260115,4235.74
HSI.HK,恒生指数,20260115,26923.62
HSTECH.HK,恒生科技,20260115,5828.35
HSHCI.HK,恒生医疗保健,20260114,4286.88
HSI.HK,恒生指数,20260114,26999.81
HSTECH.HK,恒生科技,20260114,5908.26
HSHCI.HK,恒生医疗保健,20260113,4231.49
HSI.HK,恒生指数,20260113,26848.47
HSTECH.HK,恒生科技,20260113,5869.79
HSHCI.HK,恒生医疗保健,20260112,4161.32
HSI.HK,恒生指数,20260112,26608.48
HSTECH.HK,恒生科技,20260112,5863.2
HSHCI.HK,恒生医疗保健,20260109,4115.18
HSI.HK,恒生指数,20260109,26231.79
HSTECH.HK,恒生科技,20260109,5687.14
HSHCI.HK,恒生医疗保健,20260108,4069.71
HSI.HK,恒生指数,20260108,26149.31
HSTECH.HK,恒生科技,20260108,5678.34
HSHCI.HK,恒生医疗保健,20260107,4073.78
HSI.HK,恒生指数,20260107,26458.95
HSTECH.HK,恒生科技,20260107,5738.52
HSHCI.HK,恒生医疗保健,20260106,3928.56
HSI.HK,恒生指数,20260106,26710.45
HSTECH.HK,恒生科技,20260106,5825.26
HSHCI.HK,恒生医疗保健,20260105,3875.52
HSI.HK,恒生指数,20260105,26347.24
HSTECH.HK,恒生科技,20260105,5741.63
HSHCI.HK,恒生医疗保健,20260102,3732.41
HSI.HK,恒生指数,20260102,26338.47
HSTECH.HK,恒生科技,20260102,5736.44
HSHCI.HK,恒生医疗保健,20251231,3661.52
HSI.HK,恒生指数,20251231,25630.54
HSTECH.HK,恒生科技,20251231,5515.98
HSHCI.HK,恒生医疗保健,20251230,3709.25
HSI.HK,恒生指数,20251230,25854.6
HSTECH.HK,恒生科技,20251230,5578.38
HSHCI.HK,恒生医疗保健,20251229,3728.65
HSI.HK,恒生指数,20251229,25635.23
HSTECH.HK,恒生科技,20251229,5483.01
HSHCI.HK,恒生医疗保健,20251224,3786.06
HSI.HK,恒生指数,20251224,25818.93
HSTECH.HK,恒生科技,20251224,5499.3
HSHCI.HK,恒生医疗保健,20251223,3806.53
HSI.HK,恒生指数,20251223,25774.14
HSTECH.HK,恒生科技,20251223,5488.89
HSHCI.HK,恒生医疗保健,20251222,3829.98
HSI.HK,恒生指数,20251222,25801.77
HSTECH.HK,恒生科技,20251222,5526.83
HSHCI.HK,恒生医疗保健,20251219,3855.9
HSI.HK,恒生指数,20251219,25690.53
HSTECH.HK,恒生科技,20251219,5479.04
HSHCI.HK,恒生医疗保健,20251218,3785.44
HSI.HK,恒生指数,20251218,25498.13
HSTECH.HK,恒生科技,20251218,5418.29
HSHCI.HK,恒生医疗保健,20251217,3768.14
HSI.HK,恒生指数,20251217,25468.78
HSTECH.HK,恒生科技,20251217,5457.95
HSHCI.HK,恒生医疗保健,20251216,3747.74
HSI.HK,恒生指数,20251216,25235.41
HSTECH.HK,恒生科技,20251216,5402.51
HSHCI.HK,恒生医疗保健,20251215,3781.95
HSI.HK,恒生指数,20251215,25628.88
HSTECH.HK,恒生科技,20251215,5498.42
HSHCI.HK,恒生医疗保健,20251212,3925.5
HSI.HK,恒生指数,20251212,25976.79
HSTECH.HK,恒生科技,20251212,5638.05
HSHCI.HK,恒生医疗保健,20251211,3865.23
HSI.HK,恒生指数,20251211,25530.51
HSTECH.HK,恒生科技,20251211,5534.59
HSHCI.HK,恒生医疗保健,20251210,3887.94
HSI.HK,恒生指数,20251210,25540.78
HSTECH.HK,恒生科技,20251210,5581.1
HSHCI.HK,恒生医疗保健,20251209,3911.61
HSI.HK,恒生指数,20251209,25434.23
HSTECH.HK,恒生科技,20251209,5554.68
HSHCI.HK,恒生医疗保健,20251208,3957.53
HSI.HK,恒生指数,20251208,25765.36
HSTECH.HK,恒生科技,20251208,5662.55
HSHCI.HK,恒生医疗保健,20251205,4016.25
HSI.HK,恒生指数,20251205,26085.08
HSTECH.HK,恒生科技,20251205,5662.46
HSHCI.HK,恒生医疗保健,20251204,4023.84
HSI.HK,恒生指数,20251204,25935.9
HSTECH.HK,恒生科技,20251204,5615.43
HSHCI.HK,恒生医疗保健,20251203,3938.98
HSI.HK,恒生指数,20251203,25760.73
HSTECH.HK,恒生科技,20251203,5534.92
HSHCI.HK,恒生医疗保健,20251202,4012.36
HSI.HK,恒生指数,20251202,26095.05
HSTECH.HK,恒生科技,20251202,5624.04
HSHCI.HK,恒生医疗保健,20251201,4057.02
HSI.HK,恒生指数,20251201,26033.26
HSTECH.HK,恒生科技,20251201,5644.76
HSHCI.HK,恒生医疗保健,20251128,4044.78
HSI.HK,恒生指数,20251128,25858.89
HSTECH.HK,恒生科技,20251128,5599.11
HSHCI.HK,恒生医疗保健,20251127,4081.18
HSI.HK,恒生指数,20251127,25945.93
HSTECH.HK,恒生科技,20251127,5598.05
HSHCI.HK,恒生医疗保健,20251126,4076.79
HSI.HK,恒生指数,20251126,25928.08
HSTECH.HK,恒生科技,20251126,5618.36
HSHCI.HK,恒生医疗保健,20251125,4033.24
HSI.HK,恒生指数,20251125,25894.55
HSTECH.HK,恒生科技,20251125,5612.03
HSHCI.HK,恒生医疗保健,20251124,4012.32
HSI.HK,恒生指数,20251124,25716.5
HSTECH.HK,恒生科技,20251124,5545.56
HSHCI.HK,恒生医疗保健,20251121,3894.96
HSI.HK,恒生指数,20251121,25220.02
HSTECH.HK,恒生科技,20251121,5395.49
HSHCI.HK,恒生医疗保健,20251120,4081.45
HSI.HK,恒生指数,20251120,25835.57
HSTECH.HK,恒生科技,20251120,5574.59
HSHCI.HK,恒生医疗保健,20251119,4048.1
HSI.HK,恒生指数,20251119,25830.65
HSTECH.HK,恒生科技,20251119,5606.9
HSHCI.HK,恒生医疗保健,20251118,4068.37
HSI.HK,恒生指数,20251118,25930.03
HSTECH.HK,恒生科技,20251118,5645.73
HSHCI.HK,恒生医疗保健,20251117,4137.12
HSI.HK,恒生指数,20251117,26384.28
HSTECH.HK,恒生科技,20251117,5756.88
HSHCI.HK,恒生医疗保健,20251114,4210.62
HSI.HK,恒生指数,20251114,26572.46
HSTECH.HK,恒生科技,20251114,5812.8
HSHCI.HK,恒生医疗保健,20251113,4239.6
HSI.HK,恒生指数,20251113,27073.03
HSTECH.HK,恒生科技,20251113,5981.3
HSHCI.HK,恒生医疗保健,20251112,4093.61
HSI.HK,恒生指数,20251112,26922.73
HSTECH.HK,恒生科技,20251112,5933.99
HSHCI.HK,恒生医疗保健,20251111,3995.38
HSI.HK,恒生指数,20251111,26696.41
HSTECH.HK,恒生科技,20251111,5924.39
HSHCI.HK,恒生医疗保健,20251110,4002.54
HSI.HK,恒生指数,20251110,26649.06
HSTECH.HK,恒生科技,20251110,5915.56
HSHCI.HK,恒生医疗保健,20251107,3942.42
HSI.HK,恒生指数,20251107,26241.83
HSTECH.HK,恒生科技,20251107,5837.36
HSHCI.HK,恒生医疗保健,20251106,4033.47
HSI.HK,恒生指数,20251106,26485.9
HSTECH.HK,恒生科技,20251106,5944.22
HSHCI.HK,恒生医疗保健,20251105,4003.85
HSI.HK,恒生指数,20251105,25935.41
HSTECH.HK,恒生科技,20251105,5785.85
HSHCI.HK,恒生医疗保健,20251104,3987.12
HSI.HK,恒生指数,20251104,25952.4
HSTECH.HK,恒生科技,20251104,5818.29
HSHCI.HK,恒生医疗保健,20251103,4103.52
HSI.HK,恒生指数,20251103,26158.36
HSTECH.HK,恒生科技,20251103,5922.48
HSHCI.HK,恒生医疗保健,20251031,4048.32
HSI.HK,恒生指数,20251031,25906.65
HSTECH.HK,恒生科技,20251031,5908.08
HSHCI.HK,恒生医疗保健,20251030,3969.9
HSI.HK,恒生指数,20251030,26282.69
HSTECH.HK,恒生科技,20251030,6051.76
HSHCI.HK,恒生医疗保健,20251028,4037.81
HSI.HK,恒生指数,20251028,26346.14
HSTECH.HK,恒生科技,20251028,6093.44
HSHCI.HK,恒生医疗保健,20251027,4094.03
HSI.HK,恒生指数,20251027,26433.7
HSTECH.HK,恒生科技,20251027,6171.08
HSHCI.HK,恒生医疗保健,20251024,4052.95
HSI.HK,恒生指数,20251024,26160.15
HSTECH.HK,恒生科技,20251024,6059.89
HSHCI.HK,恒生医疗保健,20251023,4027.98
HSI.HK,恒生指数,20251023,25967.98
HSTECH.HK,恒生科技,20251023,5951.45
HSHCI.HK,恒生医疗保健,20251022,4078.48
HSI.HK,恒生指数,20251022,25781.77
HSTECH.HK,恒生科技,20251022,5923.09
HSHCI.HK,恒生医疗保健,20251021,4154.21
HSI.HK,恒生指数,20251021,26027.55
HSTECH.HK,恒生科技,20251021,6007.94
HSHCI.HK,恒生医疗保健,20251020,4142.09
HSI.HK,恒生指数,20251020,25858.83
HSTECH.HK,恒生科技,20251020,5933.17
HSHCI.HK,恒生医疗保健,20251017,4087.64
HSI.HK,恒生指数,20251017,25247.1
HSTECH.HK,恒生科技,20251017,5760.38
HSHCI.HK,恒生医疗保健,20251016,4239.02
HSI.HK,恒生指数,20251016,25888.51
HSTECH.HK,恒生科技,20251016,6003.56
HSHCI.HK,恒生医疗保健,20251015,4185.67
HSI.HK,恒生指数,20251015,25910.6
HSTECH.HK,恒生科技,20251015,6075.27
HSHCI.HK,恒生医疗保健,20251014,4073.34
HSI.HK,恒生指数,20251014,25441.35
HSTECH.HK,恒生科技,20251014,5923.26
HSHCI.HK,恒生医疗保健,20251013,4254.3
HSI.HK,恒生指数,20251013,25889.48
HSTECH.HK,恒生科技,20251013,6145.51
HSHCI.HK,恒生医疗保健,20251010,4339.05
HSI.HK,恒生指数,20251010,26290.32
HSTECH.HK,恒生科技,20251010,6259.75
HSHCI.HK,恒生医疗保健,20251009,4462.39
HSI.HK,恒生指数,20251009,26752.59
HSTECH.HK,恒生科技,20251009,6471.34
HSHCI.HK,恒生医疗保健,20251008,4695.04
HSI.HK,恒生指数,20251008,26829.46
HSTECH.HK,恒生科技,20251008,6514.19
HSHCI.HK,恒生医疗保健,20251006,4633.75
HSI.HK,恒生指数,20251006,26957.77
HSTECH.HK,恒生科技,20251006,6550.3
HSHCI.HK,恒生医疗保健,20251003,4637.4
HSI.HK,恒生指数,20251003,27140.92
HSTECH.HK,恒生科技,20251003,6622.85
HSHCI.HK,恒生医疗保健,20251002,4660.55
HSI.HK,恒生指数,20251002,27287.12
HSTECH.HK,恒生科技,20251002,6682.86
HSHCI.HK,恒生医疗保健,20250930,4551.28
HSI.HK,恒生指数,20250930,26855.56
HSTECH.HK,恒生科技,20250930,6465.66
HSHCI.HK,恒生医疗保健,20250929,4428.11
HSI.HK,恒生指数,20250929,26622.88
HSTECH.HK,恒生科技,20250929,6324.25
HSHCI.HK,恒生医疗保健,20250926,4347.63
HSI.HK,恒生指数,20250926,26128.2
HSTECH.HK,恒生科技,20250926,6195.11
HSHCI.HK,恒生医疗保健,20250925,4452.33
HSI.HK,恒生指数,20250925,26484.68
HSTECH.HK,恒生科技,20250925,6379.19
HSHCI.HK,恒生医疗保健,20250924,4435.84
HSI.HK,恒生指数,20250924,26518.65
HSTECH.HK,恒生科技,20250924,6323.15
HSHCI.HK,恒生医疗保健,20250923,4458.11
HSI.HK,恒生指数,20250923,26159.12
HSTECH.HK,恒生科技,20250923,6167.06
HSHCI.HK,恒生医疗保健,20250922,4526.94
HSI.HK,恒生指数,20250922,26344.14
HSTECH.HK,恒生科技,20250922,6257.91
HSHCI.HK,恒生医疗保健,20250919,4472.64
HSI.HK,恒生指数,20250919,26545.1
HSTECH.HK,恒生科技,20250919,6294.42
HSHCI.HK,恒生医疗保健,20250918,4544.59
HSI.HK,恒生指数,20250918,26544.85
HSTECH.HK,恒生科技,20250918,6271.22
HSHCI.HK,恒生医疗保健,20250917,4522.93
HSI.HK,恒生指数,20250917,26908.39
HSTECH.HK,恒生科技,20250917,6334.24
HSHCI.HK,恒生医疗保健,20250916,4522.55
HSI.HK,恒生指数,20250916,26438.51
HSTECH.HK,恒生科技,20250916,6077.66
HSHCI.HK,恒生医疗保健,20250915,4569.35
HSI.HK,恒生指数,20250915,26446.56
HSTECH.HK,恒生科技,20250915,6043.61
HSHCI.HK,恒生医疗保健,20250912,4561.82
HSI.HK,恒生指数,20250912,26388.16
HSTECH.HK,恒生科技,20250912,5989.27
HSHCI.HK,恒生医疗保健,20250911,4476.17
HSI.HK,恒生指数,20250911,26086.32
HSTECH.HK,恒生科技,20250911,5888.77
HSHCI.HK,恒生医疗保健,20250910,4610.42
HSI.HK,恒生指数,20250910,26200.26
HSTECH.HK,恒生科技,20250910,5902.69
HSHCI.HK,恒生医疗保健,20250909,4654.31
HSI.HK,恒生指数,20250909,25938.13
HSTECH.HK,恒生科技,20250909,5828.74
HSHCI.HK,恒生医疗保健,20250908,4662.32
HSI.HK,恒生指数,20250908,25633.91
HSTECH.HK,恒生科技,20250908,5753.75
HSHCI.HK,恒生医疗保健,20250905,4628.01
HSI.HK,恒生指数,20250905,25417.98
HSTECH.HK,恒生科技,20250905,5687.45
HSHCI.HK,恒生医疗保健,20250904,4440.62
HSI.HK,恒生指数,20250904,25058.51
HSTECH.HK,恒生科技,20250904,5578.86
HSHCI.HK,恒生医疗保健,20250903,4615.09
HSI.HK,恒生指数,20250903,25343.43
HSTECH.HK,恒生科技,20250903,5683.74
HSHCI.HK,恒生医疗保健,20250902,4542.6
HSI.HK,恒生指数,20250902,25496.55
HSTECH.HK,恒生科技,20250902,5728.46
HSHCI.HK,恒生医疗保健,20250901,4539.64
HSI.HK,恒生指数,20250901,25617.42
HSTECH.HK,恒生科技,20250901,5798.96
HSHCI.HK,恒生医疗保健,20250829,4325.82
HSI.HK,恒生指数,20250829,25077.62
HSTECH.HK,恒生科技,20250829,5674.31
HSHCI.HK,恒生医疗保健,20250828,4178.55
HSI.HK,恒生指数,20250828,24998.82
HSTECH.HK,恒生科技,20250828,5644.02
HSHCI.HK,恒生医疗保健,20250827,4256.54
HSI.HK,恒生指数,20250827,25201.76
HSTECH.HK,恒生科技,20250827,5697.53
HSHCI.HK,恒生医疗保健,20250826,4446.66
HSI.HK,恒生指数,20250826,25524.92
HSTECH.HK,恒生科技,20250826,5782.24
HSHCI.HK,恒生医疗保健,20250825,4505.49
HSI.HK,恒生指数,20250825,25829.91
HSTECH.HK,恒生科技,20250825,5825.09
HSHCI.HK,恒生医疗保健,20250822,4478.65
HSI.HK,恒生指数,20250822,25339.14
HSTECH.HK,恒生科技,20250822,5647.68
HSHCI.HK,恒生医疗保健,20250821,4418.24
HSI.HK,恒生指数,20250821,25104.61
HSTECH.HK,恒生科技,20250821,5498.5
HSHCI.HK,恒生医疗保健,20250820,4320.81
HSI.HK,恒生指数,20250820,25165.94
HSTECH.HK,恒生科技,20250820,5541.27
HSHCI.HK,恒生医疗保健,20250819,4434.47
HSI.HK,恒生指数,20250819,25122.9
HSTECH.HK,恒生科技,20250819,5542.03
