rank,ticker,name,score,pick_date,benchmark,yf_sym,sector,bucket,runrate_pct,weight_pct
1,0300.HK,美的集团,85,2026-07-07,3466.HK,0300.HK,消费,nonrate,5.53,4.74
2,3606.HK,福耀玻璃,85,2026-07-07,3466.HK,3606.HK,消费,nonrate,4.22,4.74
3,3968.HK,招商银行,84,2026-07-07,3466.HK,3968.HK,银行,rate,4.82,4.65
4,6690.HK,海尔智家,83,2026-07-07,3466.HK,6690.HK,消费,nonrate,5.99,4.57
5,1209.HK,华润万象生活,83,2026-07-07,3466.HK,1209.HK,地产,rate,4.92,4.57
6,1585.HK,雅迪控股,83,2026-07-07,3466.HK,1585.HK,消费,nonrate,5.45,4.57
7,1179.HK,华住集团-S,83,2026-07-07,3466.HK,1179.HK,消费,nonrate,4.88,4.57
8,2388.HK,中银香港,82,2026-07-07,3466.HK,2388.HK,银行,rate,4.95,4.49
9,0322.HK,康师傅控股,81,2026-07-07,3466.HK,0322.HK,消费,nonrate,7.88,4.41
10,0002.HK,中电控股,80,2026-07-07,3466.HK,0002.HK,电力,rate,4.28,4.33
11,6823.HK,香港电讯-SS,80,2026-07-07,3466.HK,6823.HK,电信,rate,6.89,4.33
12,0856.HK,伟仕佳杰,80,2026-07-07,3466.HK,0856.HK,信息技术,nonrate,4.73,4.33
13,2313.HK,申洲国际,79,2026-07-07,3466.HK,2313.HK,消费,nonrate,6.08,4.24
14,0220.HK,统一企业中国,79,2026-07-07,3466.HK,0220.HK,消费,nonrate,6.87,4.24
15,2688.HK,新奥能源,79,2026-07-07,3466.HK,2688.HK,电力,rate,7.02,4.24
16,3998.HK,波司登,79,2026-07-07,3466.HK,3998.HK,消费,nonrate,7.04,4.24
17,0270.HK,粤海投资,79,2026-07-07,3466.HK,0270.HK,电力,rate,6.11,4.24
18,0066.HK,港铁公司,78,2026-07-07,3466.HK,0066.HK,工业,nonrate,4.11,4.16
19,1929.HK,周大福,78,2026-07-07,3466.HK,1929.HK,消费,nonrate,6.77,4.16
20,0941.HK,中国移动,78,2026-07-07,3466.HK,0941.HK,电信,rate,6.82,4.16
